Loss,Mem,lr
8.6145,29.0,1.0
8.4455,29.0,1.0
8.9954,29.0,1.0
8.5715,29.0,1.0
7.7365,29.2,1.0
8.5149,29.2,1.0
8.6686,29.2,1.0
8.0591,29.2,1.0
8.1751,29.2,1.0
8.1486,29.2,1.0
8.5382,29.2,1.0
8.5086,29.2,1.0
8.1943,29.2,1.0
7.7256,29.2,1.0
8.024,29.2,1.0
7.5351,34.3,1.0
7.6003,34.3,1.0
7.941,34.3,1.0
7.9559,34.3,1.0
7.8617,34.3,1.0
7.9299,34.3,1.0
7.7901,34.3,1.0
7.6027,34.3,1.0
7.7296,34.3,1.0
7.6113,34.3,1.0
7.8874,34.3,1.0
7.7571,34.3,1.0
7.5833,34.3,1.0
7.4251,34.3,1.0
7.3775,34.3,1.0
7.8622,34.3,1.0
7.6218,34.3,1.0
7.7743,34.3,1.0
7.7263,34.3,1.0
7.8294,34.3,1.0
7.9563,34.3,1.0
7.44,34.3,1.0
7.435,34.3,1.0
7.3944,34.3,1.0
7.4653,34.3,1.0
7.5969,34.3,1.0
7.5438,34.3,1.0
7.5516,34.3,1.0
7.4443,34.3,1.0
7.4444,34.3,1.0
7.3284,34.3,1.0
7.7696,34.3,1.0
7.5153,34.3,1.0
7.5223,34.3,1.0
7.1887,34.3,1.0
7.1924,34.3,1.0
7.3838,34.3,1.0
7.8905,34.3,1.0
7.5014,34.3,1.0
7.6417,34.3,1.0
7.5562,34.3,1.0
7.4446,34.3,1.0
7.3298,34.3,1.0
7.3205,34.3,1.0
7.5736,34.3,1.0
7.4468,34.3,1.0
7.2965,34.3,1.0
7.446,34.3,1.0
7.3229,34.3,1.0
7.2223,34.3,1.0
7.571,34.3,1.0
7.4106,34.3,1.0
7.5594,34.3,1.0
7.7599,34.3,1.0
7.6086,34.3,1.0
7.4375,34.3,1.0
7.4066,34.3,1.0
7.7037,34.3,1.0
7.1711,34.3,1.0
7.4908,34.3,1.0
7.3674,34.3,1.0
7.2215,34.3,1.0
7.8734,34.3,1.0
7.2869,34.3,1.0
6.9695,34.3,1.0
7.2795,34.3,1.0
7.229,34.3,1.0
7.2203,34.3,1.0
6.9146,43.2,1.0
7.5144,43.2,1.0
7.4054,43.2,1.0
7.0203,43.2,1.0
7.5843,43.2,1.0
7.3582,43.2,1.0
7.2889,43.2,1.0
7.5032,43.2,1.0
7.2952,43.2,1.0
7.5679,43.2,1.0
7.1898,43.2,1.0
6.8606,43.2,1.0
7.5884,43.2,1.0
7.2227,43.2,1.0
7.4714,43.2,1.0
7.6055,43.2,1.0
7.5322,43.2,1.0
7.5205,43.2,1.0
7.4151,43.2,1.0
7.3482,43.2,1.0
7.4281,43.2,1.0
7.7135,43.2,1.0
7.2352,43.2,1.0
7.1543,43.2,1.0
7.496,43.2,1.0
7.2679,43.2,1.0
7.3612,43.2,1.0
7.5033,43.2,1.0
7.2855,43.2,1.0
7.2692,43.2,1.0
6.9879,43.2,1.0
7.518,43.2,1.0
7.1553,43.2,1.0
7.5582,43.2,1.0
7.2073,43.2,1.0
7.691,43.2,1.0
7.4548,43.2,1.0
7.4892,43.2,1.0
7.6762,43.2,1.0
6.9985,43.2,1.0
7.3793,43.2,1.0
7.3048,43.2,1.0
7.4508,43.2,1.0
7.4275,43.2,1.0
7.4398,43.2,1.0
7.2025,43.2,1.0
6.8551,43.2,1.0
7.5385,43.2,1.0
7.2699,43.2,1.0
6.9666,43.2,1.0
7.343,43.2,1.0
7.1537,43.2,1.0
7.2886,43.2,1.0
7.5583,43.2,1.0
7.5243,43.2,1.0
7.2717,43.2,1.0
7.1094,43.2,1.0
6.7144,43.2,1.0
7.275,43.2,1.0
7.2765,43.2,1.0
7.1259,43.2,1.0
7.4419,43.2,1.0
7.2723,43.2,1.0
7.3244,43.2,1.0
7.1057,43.2,1.0
7.4003,43.2,1.0
6.9732,43.2,1.0
7.3728,43.2,1.0
7.5237,43.2,1.0
7.6325,43.2,1.0
7.2834,43.2,1.0
7.2951,43.2,1.0
7.1482,43.2,1.0
7.1434,43.2,1.0
7.3264,43.2,1.0
7.4222,43.2,1.0
7.2755,43.2,1.0
6.9119,43.2,1.0
7.0652,43.2,1.0
7.3193,43.2,1.0
6.9745,43.2,1.0
7.2302,43.2,1.0
7.2528,43.2,1.0
7.3168,43.2,1.0
7.0928,43.2,1.0
6.9617,43.2,1.0
7.0494,43.2,1.0
7.1236,43.2,1.0
7.1095,43.2,1.0
7.3011,43.2,1.0
7.1838,43.2,1.0
7.2644,43.2,1.0
7.2026,43.2,1.0
7.4336,43.2,1.0
7.2264,43.2,1.0
7.0614,43.2,1.0
7.0438,43.2,1.0
6.9698,43.2,1.0
7.1373,43.2,1.0
6.9818,43.2,1.0
6.9614,43.2,1.0
7.1702,43.2,1.0
7.5246,43.2,1.0
7.4686,43.2,1.0
7.3691,43.2,1.0
7.3112,43.2,1.0
7.2781,43.2,1.0
7.2606,43.2,1.0
7.0445,43.2,1.0
7.3714,43.2,1.0
7.3861,43.2,1.0
7.1531,43.2,1.0
7.4625,43.2,1.0
7.2263,43.2,1.0
7.1894,43.2,1.0
7.0629,43.2,1.0
7.2722,43.2,1.0
7.0633,43.2,1.0
7.3155,43.2,1.0
6.5207,43.2,1.0
6.9993,43.2,1.0
7.4725,43.2,1.0
6.8367,43.2,1.0
7.2482,43.2,1.0
7.3457,43.2,1.0
7.0885,43.2,1.0
7.2214,43.2,1.0
7.4189,43.2,1.0
7.0171,43.2,1.0
7.2141,43.2,1.0
7.4283,43.2,1.0
7.1975,43.2,1.0
7.2032,43.2,1.0
7.2904,43.2,1.0
7.3374,43.2,1.0
7.1215,43.2,1.0
7.2588,43.2,1.0
7.2029,43.2,1.0
7.1972,43.2,1.0
7.3628,43.2,1.0
7.0386,43.2,1.0
7.3395,43.2,1.0
7.3978,43.2,1.0
7.1148,43.2,1.0
7.0396,43.2,1.0
6.7591,43.2,1.0
7.2814,43.2,1.0
7.3917,43.2,1.0
7.4063,43.2,1.0
7.22,43.2,1.0
7.405,43.2,1.0
7.0629,43.2,1.0
7.0525,43.2,1.0
6.8755,43.2,1.0
7.4054,43.2,1.0
7.5596,43.2,1.0
7.3583,43.2,1.0
7.1538,43.2,1.0
7.0543,43.2,1.0
7.1476,43.2,1.0
7.2235,43.2,1.0
7.2035,43.2,1.0
7.3088,43.2,1.0
7.1677,43.2,1.0
6.9098,43.2,1.0
7.2649,43.2,1.0
6.9236,43.2,1.0
6.9965,43.2,1.0
7.085,43.2,1.0
7.4113,43.2,1.0
7.6537,43.2,1.0
7.011,43.2,1.0
6.967,43.2,1.0
7.0411,43.2,1.0
7.0645,43.2,1.0
7.0294,43.2,1.0
7.4457,43.2,1.0
6.9164,43.2,1.0
7.3923,43.2,1.0
7.3555,43.2,1.0
7.2927,43.2,1.0
7.4987,43.2,1.0
6.906,43.2,1.0
6.9438,43.2,1.0
7.1488,43.2,1.0
7.2527,43.2,1.0
6.9673,43.2,1.0
6.8251,43.2,1.0
6.7304,43.2,1.0
7.4308,43.2,1.0
7.3942,43.2,1.0
7.411,43.2,1.0
7.4557,43.2,1.0
6.8134,43.2,1.0
7.3488,43.2,1.0
7.2794,43.2,1.0
7.0561,43.2,1.0
6.9635,43.2,1.0
7.1306,43.2,1.0
7.1996,43.2,1.0
7.1541,43.2,1.0
7.4659,43.2,1.0
7.0341,43.2,1.0
6.8399,43.2,1.0
6.8958,43.2,1.0
7.1129,43.2,1.0
7.052,43.2,1.0
6.905,43.2,1.0
7.0341,43.2,1.0
7.2581,43.2,1.0
6.7805,43.2,1.0
7.2125,43.2,1.0
6.8432,43.2,1.0
7.4752,43.2,1.0
6.9394,43.2,1.0
6.8346,43.2,1.0
7.1941,43.2,1.0
7.0805,43.2,1.0
7.2052,43.2,1.0
7.1412,43.2,1.0
7.3474,43.2,1.0
6.7964,43.2,1.0
7.2032,43.2,1.0
7.0536,43.2,1.0
6.932,43.2,1.0
7.0927,43.2,1.0
7.2041,43.2,1.0
7.0086,43.2,1.0
6.9461,43.2,1.0
7.3477,43.2,1.0
7.2108,43.2,1.0
7.2578,43.2,1.0
6.8963,43.2,1.0
6.9822,43.2,1.0
7.297,43.2,1.0
7.0922,43.2,1.0
7.1063,43.2,1.0
6.7737,43.2,1.0
6.6766,49.4,1.0
7.1883,49.4,1.0
7.2888,49.4,1.0
7.2383,49.4,1.0
7.033,49.4,1.0
7.0811,49.4,1.0
7.3044,49.4,1.0
7.3309,49.4,1.0
6.2971,49.4,1.0
7.1406,49.4,1.0
6.9065,49.4,1.0
7.3619,49.4,1.0
6.6483,49.4,1.0
7.1548,49.4,1.0
7.1738,49.4,1.0
7.1347,49.4,1.0
7.1961,49.4,1.0
7.2215,49.4,1.0
7.4367,49.4,1.0
7.0445,49.4,1.0
6.9076,49.4,1.0
6.9983,49.4,1.0
7.0695,49.4,1.0
7.4184,49.4,1.0
7.1807,49.4,1.0
7.0139,49.4,1.0
7.1053,49.4,1.0
7.5316,49.4,1.0
7.0452,49.4,1.0
7.1383,49.4,1.0
7.3046,49.4,1.0
7.1439,49.4,1.0
7.3218,49.4,1.0
7.3251,49.4,1.0
7.1304,49.4,1.0
7.1525,49.4,1.0
7.5288,49.4,1.0
6.9795,49.4,1.0
7.0833,49.4,1.0
7.3283,49.4,1.0
6.9948,49.4,1.0
7.0523,49.4,1.0
6.9338,49.4,1.0
7.3875,49.4,1.0
6.8424,49.4,1.0
7.4109,49.4,1.0
7.3126,49.4,1.0
7.0886,49.4,1.0
7.2492,49.4,1.0
6.6725,49.4,1.0
7.1021,49.4,1.0
7.361,49.4,1.0
7.2315,49.4,1.0
7.2554,49.4,1.0
7.4357,49.4,1.0
6.8882,49.4,1.0
6.8353,49.4,1.0
6.9876,49.4,1.0
7.0729,49.4,1.0
7.0275,49.4,1.0
7.1469,49.4,1.0
7.119,49.4,1.0
7.2084,49.4,1.0
7.161,49.4,1.0
7.0109,49.4,1.0
6.9038,49.4,1.0
7.1262,49.4,1.0
7.0066,49.4,1.0
6.8603,49.4,1.0
7.1607,49.4,1.0
6.9788,49.4,1.0
7.1823,49.4,1.0
6.5348,49.4,1.0
6.9517,49.4,1.0
7.0932,49.4,1.0
7.1892,49.4,1.0
7.095,49.4,1.0
7.2691,49.4,1.0
7.121,49.4,1.0
6.9011,49.4,1.0
7.1008,49.4,1.0
7.064,49.4,1.0
6.9574,49.4,1.0
7.263,49.4,1.0
6.3835,49.4,1.0
7.0145,49.4,1.0
7.0549,49.4,1.0
7.1499,49.4,1.0
6.8725,49.4,1.0
7.3866,49.4,1.0
6.9606,49.4,1.0
6.9345,49.4,1.0
6.9965,49.4,1.0
7.1949,49.4,1.0
7.0267,49.4,1.0
7.2274,49.4,1.0
6.8227,49.4,1.0
7.0645,49.4,1.0
6.9103,49.4,1.0
6.9277,49.4,1.0
7.3286,49.4,1.0
7.1308,49.4,1.0
6.9588,49.4,1.0
6.9361,49.4,1.0
6.8498,49.4,1.0
6.8942,49.4,1.0
7.3815,49.4,1.0
7.2155,49.4,1.0
6.7886,49.4,1.0
7.0124,49.4,1.0
7.226,49.4,1.0
7.4867,49.4,1.0
6.8068,49.4,1.0
7.1414,49.4,1.0
7.2696,49.4,1.0
7.191,49.4,1.0
6.9546,49.4,1.0
7.376,49.4,1.0
6.9812,49.4,1.0
7.1774,49.4,1.0
7.0544,49.4,1.0
7.1295,49.4,1.0
7.5403,49.4,1.0
6.9597,49.4,1.0
6.8796,49.4,1.0
6.9904,49.4,1.0
7.1866,49.4,1.0
7.4222,49.4,1.0
6.9155,49.4,1.0
7.1647,49.4,1.0
7.0598,49.4,1.0
7.1004,49.4,1.0
7.2423,49.4,1.0
7.1075,49.4,1.0
6.9816,49.4,1.0
7.2235,49.4,1.0
7.3668,49.4,1.0
6.788,49.4,1.0
7.0376,49.4,1.0
7.0509,49.4,1.0
7.0317,49.4,1.0
7.2228,49.4,1.0
7.0479,49.4,1.0
7.1102,49.4,1.0
7.0902,49.4,1.0
7.2049,49.4,1.0
7.0195,49.4,1.0
6.9131,49.4,1.0
7.2399,49.4,1.0
7.3754,49.4,1.0
7.0319,49.4,1.0
6.9955,49.4,1.0
7.0743,49.4,1.0
7.1807,49.4,1.0
6.924,49.4,1.0
7.226,49.4,1.0
6.9789,49.4,1.0
7.0797,49.4,1.0
7.3086,49.4,1.0
7.1504,49.4,1.0
7.117,49.4,1.0
6.8494,49.4,1.0
7.2925,49.4,1.0
6.9154,49.4,1.0
7.0391,49.4,1.0
7.0702,49.4,1.0
7.3983,49.4,1.0
7.0916,49.4,1.0
6.9378,49.4,1.0
7.1029,49.4,1.0
7.1682,49.4,1.0
6.9473,49.4,1.0
7.1578,49.4,1.0
7.0483,49.4,1.0
7.199,49.4,1.0
7.1247,49.4,1.0
7.1043,49.4,1.0
6.9747,49.4,1.0
7.2285,49.4,1.0
6.945,49.4,1.0
7.0219,49.4,1.0
7.0401,49.4,1.0
6.9837,49.4,1.0
7.1901,49.4,1.0
6.9918,49.4,1.0
7.1717,49.4,1.0
7.1452,49.4,1.0
7.2002,49.4,1.0
6.9979,49.4,1.0
7.0389,49.4,1.0
7.0194,49.4,1.0
7.3607,49.4,1.0
7.2088,49.4,1.0
7.3468,49.4,1.0
7.0996,49.4,1.0
7.0301,49.4,1.0
6.7547,49.4,1.0
7.3519,49.4,1.0
7.0772,49.4,1.0
6.8385,49.4,1.0
7.0206,49.4,1.0
7.2188,49.4,1.0
7.1652,49.4,1.0
7.1483,49.4,1.0
6.9037,49.4,1.0
6.9726,49.4,1.0
7.1646,49.4,1.0
7.0478,49.4,1.0
6.9584,49.4,1.0
7.0942,49.4,1.0
6.9958,49.4,1.0
7.1986,49.4,1.0
7.0183,49.4,1.0
7.334,49.4,1.0
7.0431,49.4,1.0
7.0697,49.4,1.0
7.1637,49.4,1.0
7.2111,49.4,1.0
6.7404,49.4,1.0
7.1224,49.4,1.0
6.8282,49.4,1.0
7.2823,49.4,1.0
6.9406,49.4,1.0
6.8761,49.4,1.0
7.3703,49.4,1.0
7.0518,49.4,1.0
6.8523,49.4,1.0
6.5802,49.4,1.0
7.0627,49.4,1.0
6.8669,49.4,1.0
7.1536,49.4,1.0
7.0505,49.4,1.0
7.06,49.4,1.0
7.2132,49.4,1.0
7.0622,49.4,1.0
6.94,49.4,1.0
6.946,49.4,1.0
7.1895,49.4,1.0
7.2974,49.4,1.0
7.3051,49.4,1.0
6.7913,49.4,1.0
7.0858,49.4,1.0
7.1226,49.4,1.0
6.011,49.4,1.0
6.9557,49.4,1.0
6.8764,49.4,1.0
6.9743,49.4,1.0
6.7568,49.4,1.0
6.8174,49.4,1.0
7.0158,49.4,1.0
7.3138,49.4,1.0
7.0345,49.4,1.0
7.162,49.4,1.0
7.0264,49.4,1.0
6.9843,49.4,1.0
7.0898,49.4,1.0
6.8314,49.4,1.0
7.435,49.4,1.0
7.1054,49.4,1.0
7.3595,49.4,1.0
7.1222,49.4,1.0
7.3033,49.4,1.0
7.0424,49.4,1.0
6.9019,49.4,1.0
7.4624,49.4,1.0
7.0866,49.4,1.0
7.0034,49.4,1.0
6.9716,49.4,1.0
6.9647,49.4,1.0
6.6167,49.4,1.0
6.9912,49.4,1.0
7.0349,49.4,1.0
7.2032,49.4,1.0
7.0721,49.4,1.0
7.095,49.4,1.0
7.2509,49.4,1.0
7.3311,49.4,1.0
7.0379,49.4,1.0
7.1165,49.4,1.0
7.2216,49.4,1.0
6.98,49.4,1.0
6.9601,49.4,1.0
7.1645,49.4,1.0
7.0793,49.4,1.0
6.9561,49.4,1.0
6.8383,49.4,1.0
7.097,49.4,1.0
7.123,49.4,1.0
6.9096,49.4,1.0
7.4511,49.4,1.0
7.0455,49.4,1.0
6.9368,49.4,1.0
7.3772,49.4,1.0
7.2513,49.4,1.0
6.5312,49.4,1.0
7.1643,49.4,1.0
6.9893,53.3,1.0
6.7284,53.3,1.0
7.05,53.3,1.0
6.9636,53.3,1.0
7.1161,53.3,1.0
6.7426,53.3,1.0
7.0122,53.3,1.0
7.1005,53.3,1.0
7.0265,53.3,1.0
7.0712,53.3,1.0
6.9214,53.3,1.0
6.8239,53.3,1.0
7.0798,53.3,1.0
7.1898,53.3,1.0
7.1305,53.3,1.0
7.5557,53.3,1.0
6.9532,53.3,1.0
6.9617,53.3,1.0
6.9834,53.3,1.0
6.8951,53.3,1.0
7.1427,53.3,1.0
7.1553,53.3,1.0
7.1406,53.3,1.0
7.1624,53.3,1.0
6.917,53.3,1.0
7.1238,53.3,1.0
6.8803,53.3,1.0
6.9731,53.3,1.0
6.5017,53.3,1.0
6.8877,53.3,1.0
6.736,53.3,1.0
6.9421,53.3,1.0
6.9778,53.3,1.0
7.2034,53.3,1.0
6.7463,53.3,1.0
6.7001,53.3,1.0
7.2254,53.3,1.0
7.026,53.3,1.0
7.0993,53.3,1.0
6.914,53.3,1.0
7.083,53.3,1.0
6.812,53.3,1.0
7.0195,53.3,1.0
6.9346,53.3,1.0
7.0229,53.3,1.0
7.1773,53.3,1.0
6.9769,53.3,1.0
7.0663,53.3,1.0
6.8124,53.3,1.0
6.837,53.3,1.0
7.1983,53.3,1.0
7.2168,53.3,1.0
7.1242,53.3,1.0
7.1487,53.3,1.0
6.8832,53.3,1.0
6.8252,53.3,1.0
7.0887,53.3,1.0
6.9999,53.3,1.0
6.7106,53.3,1.0
6.8729,53.3,1.0
6.8969,53.3,1.0
7.0667,53.3,1.0
7.2903,53.3,1.0
6.9465,53.3,1.0
7.186,53.3,1.0
7.2345,53.3,1.0
7.0124,53.3,1.0
6.9313,53.3,1.0
7.0218,53.3,1.0
6.9697,53.3,1.0
7.0052,53.3,1.0
7.2721,53.3,1.0
7.0237,53.3,1.0
6.9724,53.3,1.0
7.2938,53.3,1.0
7.1034,53.3,1.0
7.1796,53.3,1.0
7.2536,53.3,1.0
7.0287,53.3,1.0
7.3341,53.3,1.0
7.1248,53.3,1.0
7.1167,53.3,1.0
7.1019,53.3,1.0
6.8738,53.3,1.0
7.1286,53.3,1.0
7.2923,53.3,1.0
7.3516,53.3,1.0
7.4269,53.3,1.0
6.9309,53.3,1.0
7.1288,53.3,1.0
6.8556,53.3,1.0
6.9185,53.3,1.0
6.8332,53.3,1.0
7.4079,53.3,1.0
7.3284,53.3,1.0
6.7556,53.3,1.0
6.9478,53.3,1.0
6.7771,53.3,1.0
6.9493,53.3,1.0
7.1557,53.3,1.0
6.9796,53.3,1.0
6.8361,53.3,1.0
7.1176,53.3,1.0
6.9416,53.3,1.0
7.1911,53.3,1.0
7.008,53.3,1.0
7.1185,53.3,1.0
6.5201,53.3,1.0
6.8656,53.3,1.0
7.2834,53.3,1.0
6.9175,53.3,1.0
7.084,53.3,1.0
7.0485,53.3,1.0
7.0309,53.3,1.0
7.1758,53.3,1.0
7.3319,53.3,1.0
6.9801,53.3,1.0
7.0314,53.3,1.0
7.2331,53.3,1.0
6.8757,53.3,1.0
7.0115,53.3,1.0
7.2593,53.3,1.0
7.1214,53.3,1.0
7.2233,53.3,1.0
7.0748,53.3,1.0
6.8952,53.3,1.0
6.9688,53.3,1.0
6.8797,53.3,1.0
6.9447,53.3,1.0
7.2585,53.3,1.0
7.2311,53.3,1.0
6.9574,53.3,1.0
7.2982,53.3,1.0
6.717,53.3,1.0
7.1444,53.3,1.0
6.7451,53.3,1.0
7.0316,53.3,1.0
7.0292,53.3,1.0
6.939,53.3,1.0
6.8126,53.3,1.0
7.4075,53.3,1.0
6.9804,53.3,1.0
7.035,53.3,1.0
7.1341,53.3,1.0
6.8363,53.3,1.0
7.0251,53.3,1.0
7.266,53.3,1.0
6.8669,53.3,1.0
